"phrase";"replacements";"message";"url
"...";"…";"Replace ... with .... ";
" - ";" – ";"Replace - with – ";
"abort";"stop";"Unconcious Bias Detected";
"aborted";"stopped";"Unconcious Bias Detected";
"aborting";"stopping";"Unconcious Bias Detected";
"birth defect";"congenital disability";"Unconcious Bias Detected";
"black day";"blocked day";"Unconcious Bias Detected";
"black days";"blocked days";"Unconcious Bias Detected";
"black hat";"bad actor";"Unconcious Bias Detected";
"black hat tactic";"bad actor tactics";"Unconcious Bias Detected";
"black list";"deny list";"Unconcious Bias Detected";
"black lists";"deny lists";"Unconcious Bias Detected";
"blackday";"blocked day";"Unconcious Bias Detected";
"black-day";"blocked day";"Unconcious Bias Detected";
"blackdays";"blocked days";"Unconcious Bias Detected";
"black-days";"blocked-days";"Unconcious Bias Detected";
"black-hat";"bad-actor";"Unconcious Bias Detected";
"black-hat tactic";"bad actor tactics";"Unconcious Bias Detected";
"blacklist";"deny-list";"Unconcious Bias Detected";
"black-list";"deny-list";"Unconcious Bias Detected";
"blacklists";"deny-lists";"Unconcious Bias Detected";
"black-lists";"deny-lists";"Unconcious Bias Detected";
"blackout";"service outage";"Unconcious Bias Detected";
"broken windows";"rough edges";"Unconcious Bias Detected";
"brown bag";"Lunch and Learn";"Unconcious Bias Detected";
"brown-bag";"Info Session";"Unconcious Bias Detected";
"businessman";"business person";"Unconcious Bias Detected";
"businesswoman";"business person";"Unconcious Bias Detected";
"cake walk";"simple";"Unconcious Bias Detected";
"cake walks";"simple";"Unconcious Bias Detected";
"caucasian";"white";"Unconcious Bias Detected";
"chairman";"chair person";"Unconcious Bias Detected";
"chairwoman";"chair person";"Unconcious Bias Detected";
"challenged";"disability";"Unconcious Bias Detected";
"circle the wagon";"regroup";"Unconcious Bias Detected";
"circle the wagons";"regroup";"Unconcious Bias Detected";
"circled the wagon";"regroup";"Unconcious Bias Detected";
"circled the wagons";"huddled";"Unconcious Bias Detected";
"congressmen";"congress person";"Unconcious Bias Detected";
"congresswoman";"congress person";"Unconcious Bias Detected";
"councilman";"concil member";"Unconcious Bias Detected";
"councilwoman";"concil member";"Unconcious Bias Detected";
"crazy";"psychiatric disability";"Unconcious Bias Detected";
"disable";"deactivate";"Unconcious Bias Detected";
"disabled";"deactivated";"Unconcious Bias Detected";
"the disabled";"the disability community";"Unconcious Bias Detected";
"disabled restroom";"accessible restroom";"Unconcious Bias Detected";
"disabling";"deactivating";"Unconcious Bias Detected";
"diverse employees";"(be specific)";"Unconcious Bias Detected";
"diverse employee";"(be specific)";"Unconcious Bias Detected";
"diversity";"(be specific)";"Unconcious Bias Detected";
"drank the cool aid";"blind acceptance";"Unconcious Bias Detected";
"drank the coolaid";"blind acceptance";"Unconcious Bias Detected";
"drank the cool-aid";"blind acceptance";"Unconcious Bias Detected";
"drank the kool aid";"blind acceptance";"Unconcious Bias Detected";
"drank the koolaid";"blind acceptance";"Unconcious Bias Detected";
"drank the kool-aid";"blind acceptance";"Unconcious Bias Detected";
"drink the cool aid";"blind acceptance";"Unconcious Bias Detected";
"drink the coolaid";"blind acceptance";"Unconcious Bias Detected";
"drink the cool-aid";"blind acceptance";"Unconcious Bias Detected";
"drink the kool aid";"blind acceptance";"Unconcious Bias Detected";
"drink the koolaid";"blind acceptance";"Unconcious Bias Detected";
"drink the kool-aid";"blind acceptance";"Unconcious Bias Detected";
"dumb";"nonspeaking";"Unconcious Bias Detected";
"dwarf";"person of short stature";"Unconcious Bias Detected";
"enable";"activate";"Unconcious Bias Detected";
"enabled";"activated";"Unconcious Bias Detected";
"enabling";"activating";"Unconcious Bias Detected";
"execute";"run";"Unconcious Bias Detected";
"executed";"ran";"Unconcious Bias Detected";
"executing";"running";"Unconcious Bias Detected";
"female";"woman";"Unconcious Bias Detected";
"grandfather";"exempt or legacy";"Unconcious Bias Detected";
"grandfathered";"exempt or legacy";"Unconcious Bias Detected";
"hey guys";"y'all";"Unconcious Bias Detected";
"hi guys";"y'all";"Unconcious Bias Detected";
"guru";"expert";"Unconcious Bias Detected";
"hang";"no response";"Unconcious Bias Detected";
"hanged";"no response";"Unconcious Bias Detected";
"hanging";"not responding";"Unconcious Bias Detected";
"housekeeping";"maintenance";"Unconcious Bias Detected";
"hung";"no response";"Unconcious Bias Detected";
"identify as male";"man";"Unconcious Bias Detected";
"identify as a man";"man";"Unconcious Bias Detected";
"identify as men";"men";"Unconcious Bias Detected";
"identify as female";"woman";"Unconcious Bias Detected";
"identify as a woman";"woman";"Unconcious Bias Detected";
"identify as women";"women";"Unconcious Bias Detected";
"invalid";"not valid";"Unconcious Bias Detected";
"kill";"stop";"Unconcious Bias Detected";
"killed";"stopped";"Unconcious Bias Detected";
"killing";"stopping";"Unconcious Bias Detected";
"lame";"uninteresting";"Unconcious Bias Detected";
"ladies and gentlemen";"y'all";"Unconcious Bias Detected";
"mailman";"mail carrier";"Unconcious Bias Detected";
"mailwoman";"mail carrier";"Unconcious Bias Detected";
"male";"man";"Unconcious Bias Detected";
"man hour";"person-hour";"Unconcious Bias Detected";
"man hours";"person-hours";"Unconcious Bias Detected";
"man-hour";"person-hour";"Unconcious Bias Detected";
"man-hours";"person-hours";"Unconcious Bias Detected";
"maniac";"psychiatric disability";"Unconcious Bias Detected";
"manic";"eager";"Unconcious Bias Detected";
"mankind";"people";"Unconcious Bias Detected";
"man-made";"people-made";"Unconcious Bias Detected";
"man made";"people-made";"Unconcious Bias Detected";
"master";"mainline";"Unconcious Bias Detected";
"masters";"primarys";"Unconcious Bias Detected";
"master-slave";"primary-secondary";"Unconcious Bias Detected";
"master-slaves";"primary-secondary";"Unconcious Bias Detected";
"master account";"management account";"Unconcious Bias Detected";
"men and women";"everyone";"Unconcious Bias Detected";
"minorities";"underrepresented groups";"Unconcious Bias Detected";
"non-verbal";"nonspeaking (for autistic adults who do not speak)";"Unconcious Bias Detected";
"nude";"beige";"Unconcious Bias Detected";
"off the reservation";"go rogue";"Unconcious Bias Detected";
"oriental";"Asian";"Unconcious Bias Detected";
"orientals";"Asian";"Unconcious Bias Detected";
"peanut gallery";"heckler";"Unconcious Bias Detected";
"policeman";"police officer";"Unconcious Bias Detected";
"policewoman";"police officer";"Unconcious Bias Detected";
"postman";"post officer";"Unconcious Bias Detected";
"postwoman";"post officer";"Unconcious Bias Detected";
"powwow";"huddle";"Unconcious Bias Detected";
"powwows";"huddles";"Unconcious Bias Detected";
"preferred pronouns";"pronouns";"Unconcious Bias Detected";
"primitive";"primitive data type";"Unconcious Bias Detected";
"psycho";"mental health issues";"Unconcious Bias Detected";
"red line";"validate";"Unconcious Bias Detected";
"red lines";"verifications";"Unconcious Bias Detected";
"red lining";"reviewing";"Unconcious Bias Detected";
"redline";"correct";"Unconcious Bias Detected";
"red-line";"check";"Unconcious Bias Detected";
"redlines";"corrections";"Unconcious Bias Detected";
"red-lines";"markups";"Unconcious Bias Detected";
"redlining";"noting";"Unconcious Bias Detected";
"red-lining";"speccing";"Unconcious Bias Detected";
"retarded";"intellectual disability";"Unconcious Bias Detected";
"salesman";"sales person";"Unconcious Bias Detected";
"saleswoman";"sales person";"Unconcious Bias Detected";
"schizo";"mental health issues";"Unconcious Bias Detected";
"seeing eye dog";"service animal";"Unconcious Bias Detected";
"sherpa";"mentor";"Unconcious Bias Detected";
"sign language";"American Sign Language (ASL)";"Unconcious Bias Detected";
"slave";"replica";"Unconcious Bias Detected";
"slaves";"replicas";"Unconcious Bias Detected";
"slow-learner";"has a learning disability";"Unconcious Bias Detected";
"sold down the river";"betray";"Unconcious Bias Detected";
"special needs";"functional needs";"Unconcious Bias Detected";
"spirit animal";"muse or inspiration";"Unconcious Bias Detected";
"spirit animals";"muses or inspirations";"Unconcious Bias Detected";
"steward";"flight attendant";"Unconcious Bias Detected";
"stewardess";"flight attendant";"Unconcious Bias Detected";
"takes the cake";"straightforward";"Unconcious Bias Detected";
"tribal knowledge";"institutional knowledge";"Unconcious Bias Detected";
"trigger";"initiate";"Unconcious Bias Detected";
"triggered";"initiated";"Unconcious Bias Detected";
"triggering";"invoking";"Unconcious Bias Detected";
"uppity";"arrogant";"Unconcious Bias Detected";
"visually handicapped";"blind";"Unconcious Bias Detected";
"waiter";"wait staff";"Unconcious Bias Detected";
"waitress";"wait staff";"Unconcious Bias Detected";
"white day";"open day";"Unconcious Bias Detected";
"white days";"open day";"Unconcious Bias Detected";
"white list";"allow-list";"Unconcious Bias Detected";
"white lists";"allow-list";"Unconcious Bias Detected";
"white paper";"paper";"Unconcious Bias Detected";
"whiteday";"open day";"Unconcious Bias Detected";
"white-day";"open day";"Unconcious Bias Detected";
"whitedays";"open day";"Unconcious Bias Detected";
"white-days";"open day";"Unconcious Bias Detected";
"whitelist";"allow-list";"Unconcious Bias Detected";
"whitelists";"allow-list";"Unconcious Bias Detected";
"women and men";"y'all";"Unconcious Bias Detected";
"a bit";"limited";"Unconcious Bias Detected";
"a lot";"numerous";"Weasel Word Detected";
"a number of";"numerous";"Weasel Word Detected";
"a while";"a duration";"Weasel Word Detected";
"almost";"virtually";"Weasel Word Detected";
"always";"consistently";"Weasel Word Detected";
"around";"approximately";"Weasel Word Detected";
"awhile";"temporarily";"Weasel Word Detected";
"best";"optimal";"Weasel Word Detected";
"better";"improved";"Weasel Word Detected";
"bigger";"larger";"Weasel Word Detected";
"complex";"intricate";"Weasel Word Detected";
"considerable";"noteworthy";"Weasel Word Detected";
"considerably";"substantially";"Weasel Word Detected";
"costly";"expensive";"Weasel Word Detected";
"disproportionate";"unbalanced";"Weasel Word Detected";
"easier";"more straightforward";"Weasel Word Detected";
"easy";"straightforward";"Weasel Word Detected";
"enough";"sufficient";"Weasel Word Detected";
"ever";"perpetually";"Weasel Word Detected";
"far";"";"Weasel Word Detected";
"fast";"";"Weasel Word Detected";
"faster";"quicker";"Weasel Word Detected";
"few";"limited";"Weasel Word Detected";
"fewer";"diminished";"Weasel Word Detected";
"frequent";"recurring";"Weasel Word Detected";
"frequently";"regularly";"Weasel Word Detected";
"further";"additional";"Weasel Word Detected";
"full";"complete";"Weasel Word Detected";
"for the most part";"primarily";"Weasel Word Detected";
"generally";"broadly";"Weasel Word Detected";
"greater";"more markedly";"Weasel Word Detected";
"hard";"challenging";"Weasel Word Detected";
"harder";"more challenging";"Weasel Word Detected";
"higher";"elevated";"Weasel Word Detected";
"in a sense";"to some extent";"Weasel Word Detected";
"in a way";"in a manner";"Weasel Word Detected";
"lower";"reduced";"Weasel Word Detected";
"many";"abundant";"Weasel Word Detected";
"might";"will";"Weasel Word Detected";
"more";"additional";"Weasel Word Detected";
"most";"predominant";"Weasel Word Detected";
"nearly";"virtually";"Weasel Word Detected";
"often";"regularly";"Weasel Word Detected";
"overwhelming";"immense";"Weasel Word Detected";
"probably";"conceivably";"Weasel Word Detected";
"proven";"verified";"Weasel Word Detected";
"relative";"comparative";"Weasel Word Detected";
"relatively";"proportionally";"Weasel Word Detected";
"roughly";"approximately";"Weasel Word Detected";
"several";"numerous";"Weasel Word Detected";
"significant";"noteworthy";"Weasel Word Detected";
"significantly";"markedly";"Weasel Word Detected";
"slow";"gradual";"Weasel Word Detected";
"slower";"more gradually";"Weasel Word Detected";
"small";"minuscule";"Weasel Word Detected";
"smaller";"tinier";"Weasel Word Detected";
"some";"numerous";"Weasel Word Detected";
"somehow";"in some way";"Weasel Word Detected";
"soon";"in the near future";"Weasel Word Detected";
"sort of";"somewhat";"Weasel Word Detected";
"tiny";"minuscule";"Weasel Word Detected";
"lots";"abundant";"Weasel Word Detected";
"usually";"typically";"Weasel Word Detected";
"varied";"assorted";"Weasel Word Detected";
"various";"diverse";"Weasel Word Detected";
"vast";"immense";"Weasel Word Detected";
"very";"exceedingly";"Weasel Word Detected";
"well";"proficiently";"Weasel Word Detected";
"worse";"deteriorated";"Weasel Word Detected";
"worst";"least favorable";"Weasel Word Detected";
"again";"";"Filler Word Detected";
"already";"";"Filler Word Detected";
"anyway";"";"Filler Word Detected";
"appeared";"";"Filler Word Detected";
"back";"";"Filler Word Detected";
"be able to";"";"Filler Word Detected";
"began";"";"Filler Word Detected";
"believed";"";"Filler Word Detected";
"considered";"";"Filler Word Detected";
"decided";"";"Filler Word Detected";
"due to the fact that";"";"Filler Word Detected";
"for the purpose of";"";"Filler Word Detected";
"for the purposes of";"";"Filler Word Detected";
"heard";"";"Filler Word Detected";
"idea";"";"Filler Word Detected";
"just";"";"Filler Word Detected";
"knew";"";"Filler Word Detected";
"lacked the ability to";"";"Filler Word Detected";
"looked";"";"Filler Word Detected";
"noticed";"";"Filler Word Detected";
"only";"";"Filler Word Detected";
"own";"";"Filler Word Detected";
"partnered with";"";"Filler Word Detected";
"partnering with";"";"Filler Word Detected";
"rather";"";"Filler Word Detected";
"real";"";"Filler Word Detected";
"recognized";"";"Filler Word Detected";
"realized";"";"Filler Word Detected";
"saw";"";"Filler Word Detected";
"seemed";"";"Filler Word Detected";
"smelled";"";"Filler Word Detected";
"started";"";"Filler Word Detected";
"still";"";"Filler Word Detected";
"supposed";"";"Filler Word Detected";
"thought";"";"Filler Word Detected";
"touched";"";"Filler Word Detected";
"understood";"";"Filler Word Detected";
"until such time as";"";"Filler Word Detected";
"watched";"";"Filler Word Detected";
"with the exception of";"";"Filler Word Detected";
"with the possible exception of";"";"Filler Word Detected";
"wondered";"";"Filler Word Detected";
"believe";"conclude";"Indirect Word Detected";
"can";"capable of";"Indirect Word Detected";
"can";"are";"Indirect Word Detected";
"could";"was capable of";"Indirect Word Detected";
"could";"will";"Indirect Word Detected";
"hope";"anticipate";"Indirect Word Detected";
"if we were to";"in the event that";"Indirect Word Detected";
"in general";"broadly";"Indirect Word Detected";
"like";"akin to";"Indirect Word Detected";
"like";"including";"Indirect Word Detected";
"may";"";"Indirect Word Detected";
"maybe";"";"Indirect Word Detected";
"need to";"require";"Indirect Word Detected";
"planning on";"intending to";"Indirect Word Detected";
"planning to";"intending to";"Indirect Word Detected";
"possible";"achievable";"Indirect Word Detected";
"possibly";"conceivably";"Indirect Word Detected";
"seem";"appear";"Indirect Word Detected";
"seems";"appears";"Indirect Word Detected";
"should";"must";"Indirect Word Detected";
"there is";"exists";"Indirect Word Detected";
"think";"consider";"Indirect Word Detected";
"thinks";"considers";"Indirect Word Detected";
"tries";"attempts";"Indirect Word Detected";
"try";"attempt";"Indirect Word Detected";
"want to";"aspire to";"Indirect Word Detected";
"wanted to";"aspired to";"Indirect Word Detected";
"was";"acted as";"Indirect Word Detected";
"wasn’t";"did not exist as";"Indirect Word Detected";
"would";"will";"Indirect Word Detected";
"adaptable";"flexible";"Emotional Word Detected";
"advantage";"benefit";"Emotional Word Detected";
"advantageous";"beneficial";"Emotional Word Detected";
"aggravate";"intensify";"Emotional Word Detected";
"aggressive";"assertive";"Emotional Word Detected";
"agitated";"unsettled";"Emotional Word Detected";
"agony";"stress";"Emotional Word Detected";
